,face_id,frame_id,domain_emotion,angry,disgust,scared,happy,sad,surprised,neutral
120,1,120,sad,0.1197676733136177,0.024911468848586082,0.1072174459695816,0.2659788429737091,0.4020988941192627,0.004477661103010178,0.07554800063371658
122,1,122,happy,0.17715659737586975,0.04528845101594925,0.0386076420545578,0.3915269374847412,0.253472238779068,0.005589499603956938,0.08835858851671219
124,1,124,happy,0.06157120689749718,0.0005925138248130679,0.05049455165863037,0.5167108774185181,0.11989204585552216,0.00431230990216136,0.246426522731781
126,1,126,happy,0.04011489450931549,0.0008670812821947038,0.0698225125670433,0.5487067699432373,0.1319456845521927,0.009353338740766048,0.199189692735672
128,1,128,sad,0.05387749522924423,0.0034714031498879194,0.07173182815313339,0.2489660382270813,0.3460839092731476,0.010109947063028812,0.26575934886932373
130,1,130,neutral,0.15289387106895447,0.0015599189791828394,0.05237670987844467,0.25101786851882935,0.19449098408222198,0.012456209398806095,0.33520445227622986
132,1,132,neutral,0.11940918117761612,0.0003758349339477718,0.08591616153717041,0.23746468126773834,0.18689388036727905,0.018162542954087257,0.35177773237228394
134,1,134,happy,0.09958570450544357,0.00026892617461271584,0.0632995069026947,0.36229294538497925,0.1397697627544403,0.01836744137108326,0.3164156675338745
136,1,136,happy,0.11131654679775238,0.00031849570223130286,0.04763069376349449,0.36029186844825745,0.1849433332681656,0.00725151551887393,0.28824758529663086
138,1,138,happy,0.04661453142762184,0.0004261166031938046,0.023858509957790375,0.6589267253875732,0.10022906213998795,0.003584959078580141,0.1663600504398346
140,1,140,happy,0.060992538928985596,0.02790042757987976,0.02790752612054348,0.59755539894104,0.18846550583839417,0.003966320771723986,0.09321224689483643
142,1,142,happy,0.054285112768411636,0.00022580008953809738,0.043045926839113235,0.4984391927719116,0.10503288358449936,0.006016680505126715,0.2929544448852539
144,1,144,neutral,0.11488937586545944,0.0003215134493075311,0.041416846215724945,0.2891874611377716,0.19303283095359802,0.011941179633140564,0.34921079874038696
146,1,146,happy,0.08099457621574402,0.0003156933235004544,0.04274401068687439,0.3945246934890747,0.16355133056640625,0.009986513294279575,0.30788320302963257
148,1,148,happy,0.036933813244104385,0.00017150487110484391,0.012761006131768227,0.5690294504165649,0.09627803415060043,0.0019645653665065765,0.2828616797924042
150,1,150,happy,0.030323576182127,0.0001598381350049749,0.013334464281797409,0.5045976042747498,0.10481870174407959,0.0019340377766638994,0.34483182430267334
152,1,152,happy,0.02400965429842472,7.212496711872518e-05,0.006923082284629345,0.6611002683639526,0.1355910301208496,0.001229217043146491,0.17107464373111725
154,1,154,happy,0.022846203297376633,4.69390070065856e-05,0.0059638796374201775,0.7040308713912964,0.10719327628612518,0.0009988694218918681,0.15891997516155243
156,1,156,happy,0.02226945199072361,3.602157084969804e-05,0.004832577425986528,0.7760792374610901,0.08080464601516724,0.0007356670685112476,0.11524241417646408
158,1,158,happy,0.04963956028223038,0.0004297485575079918,0.03465043008327484,0.4404735863208771,0.1785312294960022,0.006405143532902002,0.28987035155296326
160,1,160,happy,0.04547171667218208,0.00037146927206777036,0.04915333911776543,0.4088534414768219,0.20495612919330597,0.01668502204120159,0.27450883388519287
162,1,162,happy,0.05217362940311432,0.0005507441237568855,0.06160452216863632,0.36130490899086,0.2267044335603714,0.02504912205040455,0.27261269092559814
164,1,164,neutral,0.0596947968006134,0.0007240558043122292,0.06342365592718124,0.29038214683532715,0.2542850375175476,0.026703381910920143,0.30478689074516296
166,1,166,happy,0.053661804646253586,0.0005335580208338797,0.047609422355890274,0.3487066924571991,0.2486296147108078,0.01117759756743908,0.2896812856197357
168,1,168,happy,0.0527229905128479,0.0004488294944167137,0.054769374430179596,0.3488501310348511,0.22525399923324585,0.016517728567123413,0.30143699049949646
170,1,170,happy,0.049273885786533356,0.0007122434908524156,0.06131114438176155,0.3544468283653259,0.1658477485179901,0.024585774168372154,0.3438223600387573
172,1,172,neutral,0.05319545418024063,0.00106904620770365,0.07763583958148956,0.31458643078804016,0.18092812597751617,0.027808567509055138,0.34477654099464417
174,1,174,neutral,0.0447259396314621,0.000674618233460933,0.05574508383870125,0.2779923379421234,0.16294310986995697,0.01863439567387104,0.43928447365760803
176,1,176,neutral,0.04328418895602226,0.0004975919146090746,0.03815722465515137,0.2516018748283386,0.14569497108459473,0.014988682232797146,0.5057754516601562
178,1,178,neutral,0.09684456139802933,0.0012297916691750288,0.05631492659449577,0.1710200309753418,0.16358265280723572,0.010513714514672756,0.5004943013191223
180,1,180,neutral,0.11371606588363647,0.0014252091059461236,0.05216366797685623,0.12372154742479324,0.17391560971736908,0.009547505527734756,0.5255104303359985
182,1,182,neutral,0.1142498329281807,0.0011018948862329125,0.0864538922905922,0.21851706504821777,0.2282930314540863,0.01603727601468563,0.3353469967842102
184,1,184,neutral,0.1026717945933342,0.0015425555175170302,0.11329346895217896,0.14948201179504395,0.23970569670200348,0.011879298835992813,0.3814251720905304
186,1,186,neutral,0.10867514461278915,0.005354162305593491,0.10274407267570496,0.08897706121206284,0.265447735786438,0.010498752817511559,0.41830316185951233
